box of teabag,running nr,fence,treat snow,treat Otc,incubation time,Weight loss,Average Weightloss,,,,,,
R5,81,A1,C,OTC,66,0.2924,0.557294737,,,,,,
G11,620,A1,C,OTC,66,0.6967,,,,,,,
R8,139,A3,C,OTC,66,0.4084,,,,,,,
G11,605,A3,C,OTC,66,0.679,,,,,,,
R3,50,B4,C,OTC,66,0.341,,,,,,,
G5,478,B4,C,OTC,66,0.6766,,,,,,,
R7,121,B5,C,OTC,66,0.3915,,,,,,Treatment,Average Weight loss
G5,477,B5,C,OTC,66,0.689,,,,,,C OTC Summer,0.557294737
R7,124,B6,C,OTC,66,0.5141,,,,,,D OTC Summer,0.611872727
G5,475,B6,C,OTC,66,1.2006,,,,,,M OTC Summer,0.543735294
R8,147,C8,C,OTC,66,0.3828,,,,,,C Winter,
G2,399,C8,C,OTC,66,0.7719,,,,,,D Winter,
R8,145,C9,C,OTC,66,0.295,,,,,,M Winter,
G2,405,C9,C,OTC,66,0.7159,,,,,,C Summer,0.573395455
R3,47,D10,C,OTC,66,0.3457,,,,,,D Summer,0.607545455
R3,55,D11,C,OTC,66,0.3544,,,,,,M Summer,0.594515
G5,462,D11,C,OTC,66,0.7915,,,,,,C Annual,
R3,52,D12,C,OTC,66,0.3257,,,,,,D Annual,
G2,404,D12,C,OTC,66,0.7164,,,,,,M Annual,
R5,89,A1,D,OTC,66,0.4026,0.611872727,,,,,,
G11,613,A1,D,OTC,66,0.7334,,,,,,,
R8,136,A3,D,OTC,66,0.366,,,,,,,
G6,504,A3,D,OTC,66,0.7894,,,,,,,
R3,56,B4,D,OTC,66,0.4073,,,,,,,
G5,466,B4,D,OTC,66,0.774,,,,,,,
R7,127,B5,D,OTC,66,0.3044,,,,,,,
G5,468,B5,D,OTC,66,0.7341,,,,,,,
R7,123,B6,D,OTC,66,0.424,,,,,,,
G5,460,B6,D,OTC,66,1.0284,,,,,,,
R8,134,C8,D,OTC,66,0.425,,,,,,,
G11,617,C8,D,OTC,66,0.7473,,,,,,,
R8,143,C9,D,OTC,66,0.362,,,,,,,
G2,389,C9,D,OTC,66,0.735,,,,,,,
R8,152,D10,D,OTC,66,0.3818,,,,,,,
G2,385,D10,D,OTC,66,0.6692,,,,,,,
G2,392,D10,D,OTC,66,0.8155,,,,,,,
G2,400,D10,D,OTC,66,1.2309,,,,,,,
R3,41,D11,D,OTC,66,0.3093,,,,,,,
G2,407,D11,D,OTC,66,0.731,,,,,,,
R3,39,D12,D,OTC,66,0.3105,,,,,,,
G2,401,D12,D,OTC,66,0.7801,,,,,,,
R5,86,A1,M,OTC,66,0.4267,0.543735294,,,,,,
G11,609,A1,M,OTC,66,0.6888,,,,,,,
R8,144,A3,M,OTC,66,0.2921,,,,,,,
G11,614,A3,M,OTC,66,0.6003,,,,,,,
R7,128,B4,M,OTC,66,0.343,,,,,,,
G5,461,B4,M,OTC,66,0.7861,,,,,,,
R7,133,B5,M,OTC,66,0.3233,,,,,,,
G5,464,B5,M,OTC,66,0.6701,,,,,,,
R7,129,B6,M,OTC,66,0.3141,,,,,,,
G5,473,B6,M,OTC,66,0.7573,,,,,,,
R8,138,C9,M,OTC,66,0.3835,,,,,,,
G2,387,C9,M,OTC,66,0.851,,,,,,,
R8,151,D10,M,OTC,66,0.4385,,,,,,,
R3,46,D11,M,OTC,66,0.4056,,,,,,,
G2,398,D11,M,OTC,66,0.862,,,,,,,
R3,57,D12,M,OTC,66,0.3446,,,,,,,
G2,406,D12,M,OTC,66,0.7565,,,,,,,
R5,88,D10,M,,67,0.4338,,,,,,,
G6,503,D10,M,,67,0.8337,,,,,,,
R11,191,A1,C,,69,0.373,0.573395455,,,,,,
G6,489,A1,C,,69,0.6545,,,,,,,
R11,192,A3,C,,69,0.4472,,,,,,,
G6,490,A3,C,,69,0.6617,,,,,,,
R11,198,B4,C,,69,0.3688,,,,,,,
G6,500,B4,C,,69,0.7543,,,,,,,
R11,200,B5,C,,69,0.3728,,,,,,,
G6,492,B5,C,,69,0.6565,,,,,,,
R11,194,B6,C,,69,0.4102,,,,,,,
G6,481,B6,C,,69,0.713,,,,,,,
R5,92,C7,C,,69,0.4472,,,,,,,
G11,608,C7,C,,69,0.8644,,,,,,,
R5,94,C8,C,,69,0.4688,,,,,,,
G11,603,C8,C,,69,0.7761,,,,,,,
R5,79,C9,C,,69,0.4269,,,,,,,
G11,619,C9,C,,69,0.7593,,,,,,,
R5,95,D10,C,,69,0.4706,,,,,,,
G6,499,D10,C,,69,0.8989,,,,,,,
R11,206,D11,C,,69,0.3538,,,,,,,
G6,496,D11,C,,69,0.7804,,,,,,,
R5,82,D12,C,,69,0.3519,,,,,,,
G11,618,D12,C,,69,0.6044,,,,,,,
R11,193,A1,D,,69,0.4285,0.607545455,,,,,,
G6,501,A1,D,,69,0.7134,,,,,,,
R11,208,A3,D,,69,0.3885,,,,,,,
G6,493,A3,D,,69,0.8846,,,,,,,
R11,202,B4,D,,69,0.3702,,,,,,,
G6,485,B4,D,,69,0.8806,,,,,,,
R11,196,B5,D,,69,0.4068,,,,,,,
G6,491,B5,D,,69,0.7729,,,,,,,
R11,204,B6,D,,69,0.4403,,,,,,,
G6,483,B6,D,,69,1.082,,,,,,,
R5,90,C7,D,,69,0.467,,,,,,,
G11,623,C7,D,,69,0.7527,,,,,,,
R5,93,C8,D,,69,0.3981,,,,,,,
G11,604,C8,D,,69,0.741,,,,,,,
R5,91,C9,D,,69,0.3167,,,,,,,
G11,622,C9,D,,69,0.6874,,,,,,,
R11,201,D10,D,,69,0.4443,,,,,,,
G6,482,D10,D,,69,0.8516,,,,,,,
R11,199,D11,D,,69,0.495,,,,,,,
G6,486,D11,D,,69,0.7406,,,,,,,
R5,77,D12,D,,69,0.3878,,,,,,,
G6,497,D12,D,,69,0.716,,,,,,,
R11,207,A1,M,,69,0.4551,0.594515,,,,,,
G6,487,A1,M,,69,0.661,,,,,,,
R11,203,A3,M,,69,0.4438,,,,,,,
G6,488,A3,M,,69,0.6422,,,,,,,
R11,197,B4,M,,69,0.3854,,,,,,,
G6,498,B4,M,,69,0.7819,,,,,,,
R11,195,B5,M,,69,0.372,,,,,,,
G6,502,B5,M,,69,0.7733,,,,,,,
R11,209,B6,M,,69,0.3846,,,,,,,
G6,495,B6,M,,69,0.8163,,,,,,,
R5,84,C7,M,,69,0.4977,,,,,,,
G11,606,C7,M,,69,0.7779,,,,,,,
R5,87,C9,M,,69,0.4574,,,,,,,
G11,601,C9,M,,69,0.7457,,,,,,,
R11,205,D11,M,,69,0.4479,,,,,,,
G6,484,D11,M,,69,0.8257,,,,,,,
R5,85,D12,M,,69,0.3725,,,,,,,
G11,621,D12,M,,69,0.7824,,,,,,,
G7,525,,,,69,,,,,,,,
R1,2,A1,C,,286,0.2998,0.566040455,,,,,,
G1,377,A1,C,,286,0.6946,,,,,,,
R1,14,A3,C,,286,0.3438,,,,,,,
G1,381,A3,C,,286,0.7071,,,,,,,
R2,31,B4,C,,286,0.332,,,,,,,
G8,534,B4,C,,286,1.0554,,,,,,,
R4,62,B5,C,,286,0.3509,,,,,,,
G1,380,B5,C,,286,0.8436,,,,,,,
R4,71,B6,C,,286,0.3381,,,,,,,
G8,542,B6,C,,286,0.8282,,,,,,,
R6,108,C7,C,,286,0.3642,,,,,,,
G4,441,C7,C,,286,0.81115,,,,,,,
R6,96,C8,C,,286,0.3276,,,,,,,
G4,442,C8,C,,286,0.7431,,,,,,,
R2,20,C9,C,,286,0.3464,,,,,,,
G4,439,C9,C,,286,0.7675,,,,,,,
R7,116,D10,C,,286,0.3392,,,,,,,
G7,518,D10,C,,286,0.7016,,,,,,,
R6,113,D11,C,,286,0.3284,,,,,,,
G7,506,D11,C,,286,0.8954,,,,,,,
R9,167,D12,C,,286,0.37248,,,,,,,
G7,520,D12,C,,286,0.66236,,,,,,,
R1,3,A1,D,,286,0.3156,0.547645,,,,,,
G1,362,A1,D,,286,0.7707,,,,,,,
R1,15,A3,D,,286,0.3787,,,,,,,
G1,361,A3,D,,286,0.7929,,,,,,,
R2,30,B4,D,,286,0.2995,,,,,,,
G8,543,B4,D,,286,0.6777,,,,,,,
R4,76,B5,D,,286,0.3382,,,,,,,
G1,373,B5,D,,286,0.8027,,,,,,,
R4,74,B6,D,,286,0.37591,,,,,,,
G8,548,B6,D,,286,0.7807,,,,,,,
R2,22,C7,D,,286,0.3018,,,,,,,
G4,440,C7,D,,286,0.8766,,,,,,,
R6,100,C8,D,,286,0.3894,,,,,,,
G4,454,C8,D,,286,0.6484,,,,,,,
R2,38,C9,D,,286,0.3354,,,,,,,
G8,551,C9,D,,286,0.72641,,,,,,,
R9,169,D10,D,,286,0.2909,,,,,,,
G7,526,D10,D,,286,0.7563,,,,,,,
R6,109,D11,D,,286,0.3281,,,,,,,
G4,456,D11,D,,286,0.7792,,,,,,,
R9,153,D12,D,,286,0.31922,,,,,,,
G4,453,D12,D,,286,0.76385,,,,,,,
R1,8,A1,M,,286,0.3147,0.5634785,,,,,,
G1,367,A1,M,,286,0.6859,,,,,,,
R1,11,A3,M,,286,0.3725,,,,,,,
G1,375,A3,M,,286,0.8085,,,,,,,
R2,26,B4,M,,286,0.3579,,,,,,,
G8,533,B4,M,,286,0.7525,,,,,,,
R4,72,B5,M,,286,0.297,,,,,,,
G1,378,B5,M,,286,0.8512,,,,,,,
R4,67,B6,M,,286,0.3155,,,,,,,
G8,550,B6,M,,286,0.8872,,,,,,,
R6,107,C7,M,,286,0.3932,,,,,,,
G4,444,C7,M,,286,0.7717,,,,,,,
R2,32,C9,M,,286,0.3192,,,,,,,
G4,455,C9,M,,286,0.8112,,,,,,,
R6,104,D11,M,,286,0.3293,,,,,,,
G7,511,D11,M,,286,0.8209,,,,,,,
R9,154,D12,M,,286,0.3131,,,,,,,
G7,509,D12,M,,286,0.77487,,,,,,,
R9,162,D10,M,,288,0.3351,,,,,,,
G7,522,D10,M,,288,0.7581,,,,,,,
G4,443,C7,C,,355,0.7974,0.680754545,,,,,,
R1,10,A1,C,,355,0.5006,,,,,,,
G1,379,A1,C,,355,0.9013,,,,,,,
R1,17,A3,C,,355,0.4295,,,,,,,
G1,365,A3,C,,355,0.7605,,,,,,,
R2,24,B4,C,,355,0.4792,,,,,,,
G8,530,B4,C,,355,1.0109,,,,,,,
R4,65,B5,C,,355,0.4647,,,,,,,
G8,535,B5,C,,355,0.9854,,,,,,,
R4,61,B6,C,,355,0.4365,,,,,,,
G8,540,B6,C,,355,0.8645,,,,,,,
R6,97,C7,C,,355,0.4192,,,,,,,
R6,103,C8,C,,355,0.4946,,,,,,,
G4,437,C8,C,,355,0.9268,,,,,,,
R2,36,C9,C,,355,0.4757,,,,,,,
G4,451,C9,C,,355,0.8935,,,,,,,
R9,161,D10,C,,355,0.4785,,,,,,,
G7,514,D10,C,,355,1.0446,,,,,,,
R9,164,D11,C,,355,0.4273,,,,,,,
G7,521,D11,C,,355,0.9413,,,,,,,
R9,170,D12,C,,355,0.4491,,,,,,,
G7,512,D12,C,,355,0.7955,,,,,,,
R1,1,A1,D,,355,0.4034,0.615457895,,,,,,
G1,382,A1,D,,355,0.721,,,,,,,
G4,434,C7,D,,355,0.8477,,,,,,,
G8,552,C9,D,,355,,,,,,,,
G4,435,D11,D,,355,0.9365,,,,,,,
R1,16,A3,D,,355,0.5558,,,,,,,
G1,384,A3,D,,355,0.8818,,,,,,,
R4,69,B4,D,,355,0.4328,,,,,,,
G8,541,B4,D,,355,,,,,,,,
R1,4,B5,D,,355,0.416,,,,,,,
G1,371,B5,D,,355,0.9202,,,,,,,
R4,59,B6,D,,355,0.4179,,,,,,,
G8,549,B6,D,,355,,,,,,,,
R2,29,C7,D,,355,0.4095,,,,,,,
R6,98,C8,D,,355,0.4323,,,,,,,
G4,448,C8,D,,355,0.8246,,,,,,,
R2,37,C9,D,,355,0.4366,,,,,,,
R9,165,D10,D,,355,0.4348,,,,,,,
G7,510,D10,D,,355,0.8938,,,,,,,
R6,106,D11,D,,355,0.4863,,,,,,,
R9,155,D12,D,,355,0.4707,,,,,,,
G7,524,D12,D,,355,0.772,,,,,,,
G4,446,C9,M,,355,0.807,0.689189474,,,,,,
G7,519,D10,M,,355,0.8731,,,,,,,
R1,19,A1,M,,355,0.4039,,,,,,,
G1,363,A1,M,,355,1.0378,,,,,,,
R1,12,A3,M,,355,0.4772,,,,,,,
G1,374,A3,M,,355,1.0133,,,,,,,
R2,25,B4,M,,355,0.499,,,,,,,
G8,539,B4,M,,355,0.9327,,,,,,,
R4,58,B5,M,,355,0.3863,,,,,,,
G1,376,B5,M,,355,1.1146,,,,,,,
R4,73,B6,M,,355,0.4377,,,,,,,
G8,546,B6,M,,355,0.9408,,,,,,,
R6,105,C7,M,,355,0.4776,,,,,,,
G4,436,C7,M,,355,0.9478,,,,,,,
R2,21,C9,M,,355,0.3935,,,,,,,
R9,158,D10,M,,355,0.479,,,,,,,
R6,99,D11,M,,355,0.5738,,,,,,,
G7,515,D11,M,,355,,,,,,,,
R9,160,D12,M,,355,0.3884,,,,,,,
G7,517,D12,M,,355,0.9111,,,,,,,
