box of teabag,running nr,weight before,weight only tea,date weighing before,fence,treat snow,treat Otc,date burry,date retrieve,incubation time,pseudo rep,Weight dried (with bag),weight after (dried at 60 degr C),Weight loss after incubation,comment
R5,81,2.148,1.897,24-05-2017,A1,C,OTC,22-06-2018,27-08-2018,66,,1.974,1.6046,0.292,
G11,620,2.07,1.816,29-05-2017,A1,C,OTC,22-06-2018,27-08-2018,66,,1.5296,1.1193,0.697,
R8,139,2.223,1.97,24-05-2017,A3,C,OTC,22-06-2018,27-08-2018,66,,1.9639,1.5616,0.408,
G11,605,2.006,1.752,29-05-2017,A3,C,OTC,22-06-2018,27-08-2018,66,,1.5584,1.073,0.679,
R3,50,2.223,1.973,24-05-2017,B4,C,OTC,22-06-2018,27-08-2018,66,,2.0121,1.632,0.341,
G5,478,2.065,1.811,29-05-2017,B4,C,OTC,22-06-2018,27-08-2018,66,,1.5587,1.1344,0.677,
R7,121,2.206,1.96,24-05-2017,B5,C,OTC,22-06-2018,27-08-2018,66,,1.9831,1.5685,0.392,
G5,477,1.935,1.681,29-05-2017,B5,C,OTC,22-06-2018,27-08-2018,66,,1.3544,0.992,0.689,
R7,124,2.231,1.985,24-05-2017,B6,C,OTC,22-06-2018,27-08-2018,66,,1.9178,1.4709,0.514,
G5,475,2.049,1.795,29-05-2017,B6,C,OTC,22-06-2018,27-08-2018,66,,0.9967,0.5944,1.201,
R8,147,2.165,1.912,24-05-2017,C8,C,OTC,22-06-2018,27-08-2018,66,,1.939,1.5292,0.383,
G2,399,2.105,1.858,26-05-2017,C8,C,OTC,22-06-2018,27-08-2018,66,,1.4678,1.0861,0.772,
R8,145,2.235,1.982,24-05-2017,C9,C,OTC,22-06-2018,27-08-2018,66,,2.0836,1.687,0.295,
G2,405,2.075,1.828,26-05-2017,C9,C,OTC,22-06-2018,27-08-2018,66,,1.5039,1.1121,0.716,
R3,47,2.165,1.915,24-05-2017,D10,C,OTC,22-06-2018,27-08-2018,66,,1.9595,1.5693,0.346,
R3,55,2.155,1.905,24-05-2017,D11,C,OTC,22-06-2018,27-08-2018,66,,1.8868,1.5506,0.354,
G5,462,2.114,1.86,29-05-2017,D11,C,OTC,22-06-2018,27-08-2018,66,,1.4426,1.0685,0.792,
R3,52,2.196,1.946,24-05-2017,D12,C,OTC,22-06-2018,27-08-2018,66,,2.0177,1.6203,0.326,
G2,404,2.068,1.821,26-05-2017,D12,C,OTC,22-06-2018,27-08-2018,66,,1.5215,1.1046,0.716,
R5,89,2.186,1.935,24-05-2017,A1,D,OTC,22-06-2018,27-08-2018,66,,1.9436,1.5324,0.403,
G11,613,2.088,1.834,29-05-2017,A1,D,OTC,22-06-2018,27-08-2018,66,,1.5809,1.1006,0.733,
R8,136,2.237,1.984,24-05-2017,A3,D,OTC,22-06-2018,27-08-2018,66,,2.0421,1.618,0.366,
G6,504,1.993,1.736,29-05-2017,A3,D,OTC,22-06-2018,27-08-2018,66,,1.3314,0.9466,0.789,
R3,56,2.185,1.935,24-05-2017,B4,D,OTC,22-06-2018,27-08-2018,66,,1.8996,1.5277,0.407,
G5,466,2.081,1.827,29-05-2017,B4,D,OTC,22-06-2018,27-08-2018,66,,1.4515,1.053,0.774,
